days	firstversion	lastversion	file_name	classification
635	v2.6.37	v3.6	arch/powerpc/lib/sstep.c	MissingDead
635	v2.6.37	v3.6	drivers/message/fusion/mptbase.h	MissingUndead
635	v2.6.37	v3.6	arch/powerpc/kernel/time.c	MissingDead
635	v2.6.37	v3.6	arch/um/include/asm/cache.h	MissingDead
635	v2.6.37	v3.6	arch/powerpc/kernel/head_40x.S	MissingDead
635	v2.6.37	v3.6	arch/powerpc/platforms/83xx/mpc836x_mds.c	MissingDead
635	v2.6.37	v3.6	arch/powerpc/platforms/83xx/mpc836x_mds.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/include/asm/serial.h	MissingDead
635	v2.6.37	v3.6	arch/x86/include/asm/serial.h	MissingDead
635	v2.6.37	v3.6	arch/x86/include/asm/dwarf2.h	MissingDead
635	v2.6.37	v3.6	arch/mn10300/include/asm/serial.h	MissingDead
635	v2.6.37	v3.6	arch/h8300/platform/h8300h/generic/crt0_ram.S	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/gdb-stub.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/gdb-stub.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/smp.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/mn10300-serial.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/mn10300-serial.c	MissingDead
635	v2.6.37	v3.6	arch/mn10300/kernel/head.S	MissingDead
635	v2.6.37	v3.6	arch/microblaze/kernel/setup.c	MissingDead
635	v2.6.37	v3.6	arch/xtensa/kernel/traps.c	MissingDead
635	v2.6.37	v3.6	arch/ia64/kernel/head.S	MissingDead
635	v2.6.37	v3.6	arch/ia64/include/asm/native/inst.h	MissingDead
635	v2.6.37	v3.6	arch/sh/include/cpu-sh4/cpu/mmu_context.h	MissingDead
635	v2.6.37	v3.6	arch/um/include/asm/page.h	MissingDead
635	v2.6.37	v3.6	drivers/media/video/davinci/dm644x_ccdc.c	MissingDead
635	v2.6.37	v3.6	drivers/media/dvb/frontends/dib0070.c	MissingDead
635	v2.6.37	v3.6	arch/um/include/asm/cache.h	MissingDead
635	v2.6.37	v3.6	arch/um/include/asm/pgtable.h	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	net/irda/irlap_event.c	MissingDead
635	v2.6.37	v3.6	net/irda/irlap_event.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/chan_kern.c	MissingDead
635	v2.6.37	v3.6	arch/um/drivers/ubd_kern.c	MissingDead
635	v2.6.37	v3.6	arch/tile/include/asm/pgtable_32.h	MissingDead
635	v2.6.37	v3.6	arch/tile/mm/init.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/traps.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/traps.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/time.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/time.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/time.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xp_uv.c	MissingDead
635	v2.6.37	v3.6	net/irda/irlap_event.c	MissingDead
635	v2.6.37	v3.6	net/irda/qos.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xp_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xp_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	sound/isa/gus/interwave.c	MissingDead
635	v2.6.37	v3.6	sound/isa/gus/interwave.c	MissingDead
635	v2.6.37	v3.6	sound/soc/davinci/davinci-sffsdr.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	sound/soc/davinci/davinci-sffsdr.c	MissingDead
635	v2.6.37	v3.6	drivers/misc/sgi-xp/xpc_uv.c	MissingDead
635	v2.6.37	v3.6	drivers/net/caif/caif_spi.c	MissingDead
635	v2.6.37	v3.6	drivers/net/wireless/libertas/if_usb.c	MissingDead
635	v2.6.37	v3.6	drivers/net/wireless/libertas/if_usb.c	MissingDead
635	v2.6.37	v3.6	drivers/net/wireless/libertas/if_usb.c	MissingDead
635	v2.6.37	v3.6	drivers/net/wireless/libertas/if_usb.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/mm/init.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/kernel/time.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/mm/init.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/kernel/head.S	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/irqchip.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/kernel/head.S	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/process.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/kernel/entry.S	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/interrupt.S	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/interrupt.S	MissingDead
635	v2.6.37	v3.6	drivers/video/aty/aty128fb.c	MissingDead
635	v2.6.37	v3.6	drivers/video/aty/radeon_pm.c	MissingDead
635	v2.6.37	v3.6	drivers/video/68328fb.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/kernel/head.S	MissingDead
